Plasmid name	Well Location	Sequencing primers											
PL23092	D2	SB_GW523;DB-HTP-179;DB-HTP-102;DB-HTP-537											
PL23093	E2	SB_GW523;DB-HTP-179;DB-HTP-102;DB-HTP-537											
PL23094	F2	SB_GW523;DB-HTP-179;DB-HTP-102;DB-HTP-537											
PL23095	G2	SB_GW523;DB-HTP-179;DB-HTP-102;DB-HTP-537											
PL23097	A3	SB_GW523;DB-HTP-179;DB-HTP-102;DB-HTP-537											
PL23098	B3	SB_GW523;DB-HTP-179;DB-HTP-102;DB-HTP-537											
PL23099	C3	SB_GW523;DB-HTP-179;DB-HTP-102;DB-HTP-537											
PL23100	D3	DB-HTP-537;SB_GW523;DB-HTP-102;DB-HTP-522;SJ_GW322;DB-HTP-523;DB-HTP-179											
PL23101	E3	SB_GW523;DB-HTP-179;DB-HTP-102;DB-HTP-537											
PL23103	G3	DB-HTP-537;SB_GW523;DB-HTP-102;DB-HTP-522;SJ_GW322;DB-HTP-523;DB-HTP-179											
PL23104	H3	SB_GW523;DB-HTP-179;DB-HTP-102;DB-HTP-537											
PL23114	B5	SB_GW523;DB-HTP-524;DB-HTP-537											
PL23115	C5	SB_GW523;DB-HTP-524;DB-HTP-537											
PL23116	D5	DB-HTP-537;SB_GW523;DB-HTP-526;DB-HTP-524;SJ_GW322											
PL23117	E5	SB_GW523;DB-HTP-524;DB-HTP-537											
PL23118	F5	SB_GW523;DB-HTP-537;DB-HTP-525											
PL23119	G5	SB_GW523;DB-HTP-102;DB-HTP-537;DB-HTP-525											
PL23120	H5	SB_GW523;DB-HTP-102;DB-HTP-537;DB-HTP-525											
PL23121	A6	SB_GW523;DB-HTP-102;DB-HTP-537;DB-HTP-525											
PL23122	B6	DB-HTP-537;SB_GW523;DB-HTP-102;DB-HTP-528;SJ_GW322;DB-HTP-525;DB-HTP-527											
PL23123	C6	SB_GW523;DB-HTP-102;DB-HTP-537;DB-HTP-525											
PL23124	D6	SB_GW523;DB-HTP-102;DB-HTP-537;DB-HTP-525											
PL23125	E6	DB-HTP-537;SB_GW523;DB-HTP-102;DB-HTP-528;SJ_GW322;DB-HTP-525;DB-HTP-527											
PL23126	F6	SB_GW523;DB-HTP-102;DB-HTP-537;DB-HTP-525											
PL23127	G6	SB_GW523;DB-HTP-102;DB-HTP-537;DB-HTP-525											
PL23128	H6	SB_GW523;DB-HTP-181;DB-HTP-102;DB-HTP-537											
PL23129	A7	DB-HTP-181;DB-HTP-530;DB-HTP-529;DB-HTP-537;SB_GW523;DB-HTP-102;SJ_GW322											
PL23130	B7	SB_GW523;DB-HTP-181;DB-HTP-102;DB-HTP-537											
PL23131	C7	SB_GW523;DB-HTP-181;DB-HTP-102;DB-HTP-537											
PL23132	D7	SB_GW523;DB-HTP-181;DB-HTP-102;DB-HTP-537											
PL23133	E7	SB_GW523;DB-HTP-181;DB-HTP-102;DB-HTP-537											
PL23134	F7	SB_GW523;DB-HTP-181;DB-HTP-102;DB-HTP-537											
PL23135	G7	SB_GW523;DB-HTP-181;DB-HTP-102;DB-HTP-537											
PL23136	H7	DB-HTP-181;DB-HTP-530;DB-HTP-537;SB_GW523;DB-HTP-102;DB-HTP-076											
PL23137	A8	DB-HTP-181;DB-HTP-530;DB-HTP-537;SB_GW523;DB-HTP-102;SJ_GW322											
PL23138	B8	SB_GW523;DB-HTP-181;DB-HTP-102;DB-HTP-537											
PL23139	C8	SB_GW523;DB-HTP-181;DB-HTP-102;DB-HTP-537											
PL23140	D8	SB_GW523;DB-HTP-181;DB-HTP-102;DB-HTP-537											
PL23141	E8	SB_GW523;DB-HTP-181;DB-HTP-102;DB-HTP-537											
PL23142	F8	SB_GW523;DB-HTP-181;DB-HTP-102;DB-HTP-537											
PL23143	G8	SB_GW523;DB-HTP-181;DB-HTP-102;DB-HTP-537											
PL23144	H8	SB_GW523;DB-HTP-181;DB-HTP-102;DB-HTP-537											
PL23145	A9	SB_GW523;DB-HTP-181;DB-HTP-102;DB-HTP-537											
PL23146	B9	SB_GW523;DB-HTP-181;DB-HTP-102;DB-HTP-537											
PL23147	C9	SB_GW523;DB-HTP-181;DB-HTP-102;DB-HTP-537											
PL23148	D9	DB-HTP-181;DB-HTP-530;DB-HTP-537;SB_GW523;DB-HTP-102;DB-HTP-531;DB-HTP-076											
PL23149	E9	DB-HTP-181;DB-HTP-537;SB_GW523;DB-HTP-102;DB-HTP-532;DB-HTP-076											
PL23150	F9	SB_GW523;DB-HTP-181;DB-HTP-102;DB-HTP-537											
